Reference, Value, Footprint, Datasheet
"U1","ATMEGA32U4","Package_QFP:TQFP-44_10x10mm_P0.8mm",""
"J2","USB C Port","Connector_USB:USB_C_Receptacle_GCT_USB4085","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"C7","22p","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C6","22p","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C1","0.1u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C2","0.1u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C3","0.1u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C4","0.1u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C5","4.7u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"SW1","SW_Push","Button_Switch_SMD:SW_SPST_CK_KXT3","~"
"R1","10k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R4","10k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R5","5.1k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R6","5.1k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R2","22","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R3","22","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C8","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"J1","MCU Prog","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"Y1","XTAL_18p","Crystal:Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm_HandSoldering","~"
"K0:1","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D0:1","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K1:1","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D1:1","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K2:1","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D2:1","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K3:1","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D3:1","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K4:1","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D4:1","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K0:2","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D0:2","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K1:2","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D1:2","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K2:2","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D2:2","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K3:2","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D3:2","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K4:2","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D4:2","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K0:3","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D0:3","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K1:3","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D1:3","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K2:3","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D2:3","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K3:3","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D3:3","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K4:3","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D4:3","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K0:4","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D0:4","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K1:4","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D1:4","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K2:4","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D2:4","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K3:4","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D3:4","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K4:4","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D4:4","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K0:5","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D0:5","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K1:5","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D1:5","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K2:5","KEYSW","keyboard_parts_AO:Kailh_socket",""
